game_key,app_id,title,genre,genre_count_observed,genre_weight_observed,source_rank,attributed_revenue_base,inclusive_revenue_base,commercial_success_flag,source_url,observed_price_usd,owners_range_observed,score_percent_observed,owners_midpoint
70b55be0a6e5,,Kynseed,Simulation,1,1,19,561600,561600,0,https://steamspy.com/genre/Simulation,6.24,"100,000 .. 200,000",0.89,150000
74030c8f0606,,Pinball FX3,Simulation,1,1,20,10786500,10786500,1,https://steamspy.com/genre/Simulation,23.97,"500,000 .. 1,000,000",0.89,750000
601d8838438b,,F1 2017,Simulation,2,0.5,21,0,,,https://steamspy.com/genre/Simulation,,"200,000 .. 500,000",0.89,350000
6417547eb491,,Rise of Nations: Extended Edition,Simulation,1,1,22,17990999.999999996,17990999.999999996,1,https://steamspy.com/genre/Simulation,19.99,"1,000,000 .. 2,000,000",0.89,1500000
2438617c3623,,Stardew Valley,Simulation,1,1,23,314790000,314790000,1,https://steamspy.com/genre/Simulation,14.99,"20,000,000 .. 50,000,000",0.89,35000000
f5ff4a51392e,,TrainClicker,Simulation,1,1,24,59940,59940,0,https://steamspy.com/genre/Simulation,9.99,"0 .. 20,000",0.89,10000
dd9056484759,,Combat Mission 2,Simulation,1,1,25,23700,23700,0,https://steamspy.com/genre/Simulation,3.95,"0 .. 20,000",0.89,10000
f157e03410dc,,Mewgenics,Simulation,1,1,26,179940,179940,0,https://steamspy.com/genre/Simulation,29.99,"0 .. 20,000",0.88,10000
2afd5d3d57ab,,Rhell,Simulation,2,0.5,27,44970,89940,0,https://steamspy.com/genre/Simulation,14.99,"0 .. 20,000",0.88,10000
8516b58c638d,,Cabernet,Simulation,1,1,28,629550,629550,0,https://steamspy.com/genre/Simulation,13.99,"50,000 .. 100,000",0.88,75000
b1165a838c4e,,Out of the Park Baseball 17,Sports,4,0.25,1,0,,,https://steamspy.com/genre/Sports,,"50,000 .. 100,000",0.92,75000
46f796a545dc,,NBA 2K17,Sports,1,1,2,0,,,https://steamspy.com/genre/Sports,,"500,000 .. 1,000,000",0.9,750000
9064ba230658,,despelote,Sports,1,1,3,44940,44940,0,https://steamspy.com/genre/Sports,7.49,"0 .. 20,000",0.89,10000
601d8838438b,,F1 2017,Sports,2,0.5,4,0,,,https://steamspy.com/genre/Sports,,"200,000 .. 500,000",0.89,350000
2afd5d3d57ab,,Rhell,Sports,2,0.5,5,44970,89940,0,https://steamspy.com/genre/Sports,9.74,"0 .. 20,000",0.88,10000
79d9aecbde3f,,Lonely Mountains: Snow Riders,Sports,1,1,6,89940,89940,0,https://steamspy.com/genre/Sports,14.99,"0 .. 20,000",0.87,10000
f9ed6c75e710,,OlliOlli World,Sports,1,1,7,224550.00000000003,224550.00000000003,0,https://steamspy.com/genre/Sports,4.99,"50,000 .. 100,000",0.87,75000
c800ab4e555e,,F1 2019,Sports,1,1,9,0,,,https://steamspy.com/genre/Sports,,"500,000 .. 1,000,000",0.87,750000
e8f7edd865a5,,Out of the Park Baseball 18,Sports,1,1,10,0,,,https://steamspy.com/genre/Sports,,"20,000 .. 50,000",0.86,35000
58a4099b4ee3,,F1 2016,Sports,1,1,11,0,,,https://steamspy.com/genre/Sports,,"200,000 .. 500,000",0.86,350000
56bd3ab0160e,,Football Manager 2019,Sports,1,1,12,0,,,https://steamspy.com/genre/Sports,,"1,000,000 .. 2,000,000",0.86,1500000
